Antigen processing: Ubiquitination & Proteasome degradation,Antigen processing
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Activated PKN1 stimulates transcription of AR
HSP90 chaperone cycle for steroid hormone receptors (SHR),HSP90 chaperone cycle
Class I MHC mediated antigen processing & presentation,Class I MHC
Intracellular signaling by second messengers,Intracellular signaling by 2nd mes.
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Ab. conv. of 2-oxoglutarate to 2-hydroxyglutarate
Senescence-Associated Secretory Phenotype (SASP),SASP
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","PI5P, PP2A, IER3 reg. PI3K/AKT Signaling"
Gastrin-CREB signalling pathway via PKC and MAPK,"Gastrin-CREB signalling via PKC, MAPK"
Translocation of ZAP-70 to Immunological synapse, Translocation of ZAP-70 to immun. synapse
Activation of kainate receptors upon glutamate binding, Activation of kainate receptors
Neurotransmitter receptors and postsynaptic signal transmission, Neurotrans. receptors; postsynaptic signal trans.
Presynaptic depolarization and calcium channel opening, Presynaptic depolarization
Post-translational protein modification, Post-translational protein mod.
Cytokine Signaling in Immune system, Cytokine Sig. in immune sys.
Thrombin signalling through proteinase activated receptors (PARs), Thrombin signalling through PARs
Transport of inorganic cations/anions and amino acids/oligopeptides, Transport of inorganic ions and amino acids
"Platelet activation, signaling and aggregation","Platelet activation, sig. and agg."
Prostacyclin signalling through prostacyclin receptor, Prostacyclin signalling
Vasopressin regulates renal water homeostasis via Aquaporins, Vasopressin regulates renal water homeostasis
Protein-protein interactions at synapses, Protein-protein interactions at syn.
Regulation of gene expression by Hypoxia-inducible Factor, Regulation of gene expression by HIF
Regulation of Hypoxia-inducible Factor (HIF) by oxygen, Regulation of HIF by oxygen
"Transport of bile salts and organic acids, metal ions and amine compounds", Transport of bile salts and organic acids
SLC-mediated transmembrane transport, SLC-mediated transport
Cargo recognition for clathrin-mediated endocytosis, Cargo recognition for endocytosis
Constitutive Signaling by Aberrant PI3K in Cancer, Constitutive Signaling by Aberrant PI3K
Signaling by Non-Receptor Tyrosine Kinases, Signaling by nRTKs
Signaling by Receptor Tyrosine Kinases, Signaling by RTKs
Transmission across Chemical Synapses, Trans. across Chemical Synapses
O-glycosylation of TSR domain-containing proteins, O-glycosylation of TSR domain-containing prot.
Factors involved in megakaryocyte development and platelet production, Megakaryocyte development
